year,Andhra Pradesh,Arunachal Pradesh,Assam,Bihar,Goa,Gujarat,Haryana,Himachal Pradesh,Jammu And Kashmir,Jharkhand,Karnataka,Kerala,Madhya Pradesh,Chhattisgarh,Maharashtra,MANIPUR,Meghalaya,MIZORAM,Nagaland,ORISSA,Punjab,Rajasthan,SIKKIM,Tamil Nadu,Tripura,Uttar Pradesh,Uttarakhand,West Bengal,Andaman And Nicobar Islands,Chandigarh,Delhi,PUDUCHERRY,Telangana
1980   ,7323.95,97.7,2298.27,6349.22,315.46,6547.42,3031.95,722.82,1050,5587.36,3822.73,7012.44,15162.58,199.56,179.62,105.47,3442.69,4449.25,4125.71,48.98,7218.16,264.45,14011.82,9594,49.31,2454.68,167.09,,,,,,
1981   ,8509.6,112.53,2558.23,6704.49,292.12,7197.72,3145.18,767.88,1074.43,5957.38,3774.81,7190.58,15518.94,211.03,187.28,125.41,3437.23,4871.88,4478.11,52.19,8010.77,260.52,14347.69,9335.06,51.56,2654.63,169.35,,,,,,
1982   ,8660.43,116.33,2676.31,6766.48,336.38,7090.2,3341.2,741.03,1108.53,6101.71,3868.51,7510.99,16115.65,214,190.14,142.6,3232,5015.22,4569.76,58.82,7578.39,287.45,15468.75,9703.64,50.14,2990.01,182.88,,,,,,
1983   ,9022.3,124.55,2793.32,7421.51,339.77,8450.68,3412.45,777.02,1144.7,6535.82,3711.68,7898.89,17127.6,232.97,194.57,146.31,3884.82,5105.46,5611.3,61.42,7988.39,278.53,16075.51,10856.51,57.96,2918.78,184.74,,,,,,
1984   ,8749.01,136.54,2807.43,8117.2,352.94,8446.29,3544.96,733.36,1202.25,7023.15,3941.58,7516.16,17348.1,242.57,204.59,150.89,3700.32,5502.15,5207.66,69.46,9032.76,286.78,16331.19,11145.03,55.8,3040.41,195.02,,,,,,
1985   ,9302.96,154.04,2991.79,8292.92,337.63,8214.34,4181.08,831.33,1229.84,6733.3,4086.36,8171.9,18714.25,256.17,214.32,154.22,4126.8,5923.72,5187.3,75.59,9390.95,290.23,16970.52,11611.09,63.04,3520.45,204.32,,,,,,
1986   ,9049.74,164.66,2907.4,8950.25,354.3,8720.32,4183.92,891.88,1245.82,7365.13,3992.97,7808.6,18968.55,261.25,217.67,171.26,4184.2,6131.43,5684.7,89.17,9309.94,306.84,17705.71,12072.46,66.01,3748.29,216.73,,,,,,
1987   ,10274.03,175.3,3036.65,8454.76,393.13,7748.82,4110.06,893.82,1110,7882.92,4165.63,8875.69,20247.98,281.66,237.25,191.75,4053.74,6449.86,5290.56,107.55,9893.12,346.92,18506.01,12719.98,70.24,4078.9,218.55,,,,,,
1988   ,12028.83,189.66,3059.92,9523.38,477.49,10873.39,5110.54,1005.18,1257.48,8563.21,4584.1,9527.21,22362.1,295.26,239.56,206.82,4906.89,6792.28,7477.12,114.9,10732.84,389.68,20918.61,13264.05,76.55,4428.64,229.08,,,,,,
1989   ,12985.77,195.18,3285.7,9364.95,498.37,10681.11,5178.26,1123.28,1285.35,9045.72,4892.36,9725.23,26050.75,299.34,274.55,214.8,5234.28,7364.54,7324,122.89,11467.89,415.53,21500.94,13734.89,76.87,4838.29,239.69,,,,,,
1990   ,13580.12,231.11,3425.55,10253.27,568.25,10839.15,5719.21,1150.8,1359.89,9112.1,5262.34,11107.21,27223.82,316.22,303.99,238.1,4344.7,7504.93,8472.6,135.32,12422.99,447,22779.65,14457.81,73.93,5046.41,253.85,,,,,,
1991   ,14341.66,264.24,3576.61,9673.08,566.23,9944.03,5837.49,1157.18,1390.48,10269.85,5364.66,10305.93,27139.38,342.85,318.89,247.79,4897.01,7844.87,7823.37,144.29,12755.4,459,22872.87,15590.22,68.36,5813.66,237.97,,,,,,
1992   ,13954.55,271.07,3613.09,9100.02,649.27,13143.71,5835.25,1210.12,1452.27,10507.58,5751.61,11061.75,31243.36,359.39,300.07,283.25,4813.71,8215.16,8996.49,,13413.46,476.21,23119.16,16053.52,88.79,6016.94,208.31,,,,,,
1993   ,51655.11,812.13,13476.83,20780.07,2001.86,42560.47,19421.55,4250.03,5500.2,13403.1,36982.29,23851.07,33937.27,12163.08,101767.46,1141.44,1309.08,1250.8,16184.88,27067.56,28976.9,363.81,51643.29,1619.27,70934.7,5109.33,48397.63,468.16,1371.39,18967.35,829.23,,
1993   ,15543.12,310.15,3753.92,9319.81,676.37,12740.99,6097.91,1256.94,1522,11291.09,6346.65,12240.17,34687.63,366.92,321.12,287.57,5123.93,8574.42,8262.57,,14582.89,529.17,23692.26,17220.58,98.72,6432.8,235.43,,,,,,
