year,Andhra Pradesh,Arunachal Pradesh,Assam,Bihar,Goa,Gujarat,Haryana,Himachal Pradesh,Jammu And Kashmir,Jharkhand,Karnataka,Kerala,Madhya Pradesh,Chhattisgarh,Maharashtra,MANIPUR,Meghalaya,MIZORAM,Nagaland,ORISSA,Punjab,Rajasthan,SIKKIM,Tamil Nadu,Tripura,Uttar Pradesh,Uttarakhand,West Bengal,Andaman And Nicobar Islands,Chandigarh,Delhi,PUDUCHERRY,Telangana
1980,238504.6731,7632.04,102542.74,157554.8803,25378.67615,351539.246,181068.8423,44999.61841,52933.29011,102746.63,453434.9567,238357.7742,202444.69,108246.807,787005.3204,9363.7458,11519.91131,207.5,5589.46187,164128.2678,187131.8521,288825.5953,19729.63803,446611.4704,29241.48,478588.3332,90148.8957,,,,,,
1981,239690.3231,7646.87,102802.7,157910.1503,25355.33615,352189.546,181182.0723,45044.67841,52957.72011,103116.65,453387.0367,238535.9142,202801.05,108258.277,787012.9804,9383.6858,11514.45131,630.13,5941.86187,164131.4778,187924.4621,288821.6653,20065.50803,446352.5304,29243.73,478788.2832,90151.1557,,,,,,
1982,239841.1531,7650.67,102920.78,157972.1403,25399.59615,352082.026,181378.0923,45017.82841,52991.82011,103260.98,453480.7367,238856.3242,203397.76,108261.247,787015.8404,9400.8758,11309.22131,773.47,6033.51187,164138.1078,187492.0821,288848.5953,21186.56803,446721.1104,29242.31,479123.6632,90164.6857,,,,,,
1983,240203.0231,7658.89,103037.79,158627.1703,25402.98615,353442.506,181449.3423,45053.81841,53027.99011,103695.09,453323.9067,239244.2242,204409.71,108280.217,787020.2704,9404.5858,11962.04131,863.71,7075.05187,164140.7078,187902.0821,288839.6753,21793.32803,447873.9804,29250.13,479052.4332,90166.5457,,,,,,
1984,239929.7331,7670.88,103051.9,159322.8603,25416.15615,353438.116,181581.8523,45010.15841,53085.54011,104182.42,453553.8067,238861.4942,204630.21,108289.817,787030.2904,9409.1658,11777.54131,1260.4,6671.41187,164148.7478,188946.4521,288847.9253,22049.00803,448162.5004,29247.97,479174.0632,90176.8257,,,,,,
1985,240483.6831,7688.38,103236.26,159498.5803,25400.84615,353206.166,182217.9723,45108.12841,53113.13011,103892.57,453698.5867,239517.2342,205996.36,108303.417,787040.0204,9412.4958,12204.02131,1681.97,6651.05187,164154.8778,189304.6421,288851.3753,22688.33803,448628.5604,29255.21,479654.1032,90186.1257,,,,,,
1986,240230.4631,7699,103151.87,160155.9103,25417.51615,353712.146,182220.8123,45168.67841,53129.11011,104524.4,453605.1967,239153.9342,206250.66,108308.497,787043.3704,9429.5358,12261.42131,1889.68,7148.45187,164168.4578,189223.6321,288867.9853,23423.52803,449089.9304,29258.18,479881.9432,90198.5357,,,,,,
1987,241454.7531,7709.64,103281.12,159660.4203,25456.34615,352740.646,182146.9523,45170.61841,52993.29011,105042.19,453777.8567,240221.0242,207530.09,108328.907,787062.9504,9450.0258,12130.96131,2208.11,6754.31187,164186.8378,189806.8121,288908.0653,24223.82803,449737.4504,29262.41,480212.5532,90200.3557,,,,,,
1988,243209.5531,7724,103304.39,160729.0403,25540.70615,355865.216,183147.4323,45281.97841,53140.77011,105722.48,454196.3267,240872.5442,209644.21,108342.507,787065.2604,9465.0958,12984.11131,2550.53,8940.87187,164194.1878,190646.5321,288950.8253,26636.42803,450281.5204,29268.72,480562.2932,90210.8857,,,,,,
1989,244166.4931,7729.52,103530.17,160570.6103,25561.58615,355672.936,183215.1523,45400.07841,53168.64011,106204.99,454504.5867,241070.5642,213332.86,108346.587,787100.2504,9473.0758,13311.50131,3122.79,8787.75187,164202.1778,191381.5821,288976.6753,27218.75803,450752.3604,29269.04,480971.9432,90221.4957,,,,,,
1990,244760.8431,7765.45,103670.02,161458.9303,25631.46615,355830.976,183756.1023,45427.59841,53243.18011,106271.37,454874.5667,242452.5442,214505.93,108363.467,787129.6904,9496.3758,12421.92131,3263.18,9936.35187,164214.6078,192336.6821,289008.1453,28497.46803,451475.2804,29266.1,481180.0632,90235.6557,,,,,,
1991,245522.3831,7798.58,103821.08,160878.7403,25629.44615,354935.856,183874.3823,45433.97841,53273.77011,107429.12,454976.8867,241651.2642,214421.49,108390.097,787144.5904,9506.0658,12974.23131,3603.12,9287.12187,164223.5778,192669.0921,289020.1453,28590.68803,452607.6904,29260.53,481947.3132,90219.7757,,,,,,
1992,245135.2731,7805.41,103857.56,160305.6803,25712.48615,358135.536,183872.1423,45486.91841,53335.56011,107666.85,455363.8367,242407.0842,218525.47,108406.637,787125.7704,9541.5258,12890.93131,3973.41,10460.24187,164079.2878,193327.1521,289037.3553,28836.97803,453070.9904,29280.96,482150.5932,90190.1157,,,,,,
1993,246723.8431,7844.49,103998.39,160525.4703,25739.58615,357732.816,184134.8023,45533.73841,53405.29011,108450.36,455958.8767,243585.5042,221969.74,108414.167,787146.8204,9545.8458,13201.15131,4332.67,9726.32187,164223.5778,194496.5821,289090.3153,29410.07803,454238.0504,29290.89,482566.4532,90217.2357,336724.1515,2320.53287,22460.27824,211349.0944,,
1993,246723.8431,7844.49,103998.39,160525.4703,25739.58615,357732.816,184134.8023,45533.73841,53405.29011,108450.36,455958.8767,243585.5042,221969.74,108414.167,787146.8204,9545.8458,13201.15131,4332.67,9726.32187,164079.2878,194496.5821,289090.3153,29410.07803,454238.0504,29290.89,482566.4532,90217.2357,,,,,,
1994,243856.1631,7807.14,103494.59,159267.8303,25690.43615,357490.436,182314.4723,44878.16841,53140.47011,109389.04,453376.5367,241404.7942,217369.27,108577.187,774652.5004,9361.0358,13044.08131,4323.45,8491.45187,162448.8778,194379.9621,289076.5353,25230.20803,454038.7204,23400.09,482564.5232,85287.8057,336676.2115,2171.77287,21025.53824,211306.1644,,
1995,236140.9631,7780.87,103623.72,157792.5703,25033.72615,353216.916,181036.4123,44482.89841,52787.38011,107837.5,446932.4267,239433.6442,214655.87,108245.807,769622.9604,9338.3158,12864.37131,4402.71,7911.22187,160622.9878,192431.3121,289043.5153,22547.30803,453837.5304,22776.37,482492.6432,81173.0357,336723.1815,1995.68287,19591.73824,211101.4844,,
1996,237774.7931,7756.59,103386.92,158957.6903,25008.16615,353222.386,180829.9423,44110.74841,52455.79011,103681.72,444152.1567,238826.9442,212611.67,107736.147,763016.4404,9222.5558,12763.70131,4265.69,5534.05187,159786.2778,187604.5921,289011.7653,17040.73803,453629.4004,23686.98,482422.1632,76185.4157,336686.3415,1879.94287,15605.48824,210723.2944,,
1997,233770.6031,7811.37,103045.25,153970.8303,24630.88615,345199.246,178325.1323,43832.40841,52166.62011,104531.17,440389.5067,237747.9642,210155.31,107190.257,758471.6104,9112.0458,12710.34131,4163.34,6758.97187,157667.3978,183453.1521,288985.0953,14586.24803,453438.6704,15136.2,482075.0732,72320.2557,336649.1615,1648.07287,12629.80824,210381.8644,,
1998,230383.5931,7692.55,102716.62,157552.2103,24485.57615,343673.436,177906.4223,43575.73841,51880.13011,104185.99,438332.6567,236708.4142,208083.41,106875.997,747027.2004,9074.9758,12555.10131,4066.55,5983.26187,156642.4278,182191.7221,288950.2953,12668.20803,453306.6304,12724.84,482129.6532,68450.6857,336658.5015,1488.64287,12259.40824,210346.1744,,
1999,227474.8731,7708.9,102396.98,155168.9103,24407.71615,335130.286,176492.7723,43161.91841,51635.34011,103625.09,436397.8967,234651.5642,207491.67,106857.817,745051.5004,9106.1158,12511.30131,3969.45,5194.54187,155964.3378,176899.7021,288946.6053,6368.328027,453325.2504,9024.59,481675.0632,65087.0557,336609.8715,1354.93287,9976.61824,210340.8844,9411.53,
1999,227474.8731,7708.9,102396.98,155168.9103,24407.71615,335130.286,176492.7723,43161.91841,51635.34011,103625.09,436397.8967,234651.5642,207491.67,106857.817,745051.5004,9106.1158,12511.30131,3969.45,5194.54187,155964.3378,176899.7021,288946.6053,6368.328027,453325.2504,9024.59,481675.0632,65087.0557,336609.8715,1354.93287,9976.61824,210340.8844,,
2000,237149.8731,7818.9,103206.98,162753.9103,24124.71615,329020.286,180253.7723,43956.91841,52019.34011,100059.09,437001.8967,236201.5642,201586.67,105389.817,738379.5004,8917.1158,12722.30131,4022.45,5636.54187,154951.3378,178932.7021,286536.6053,6417.328027,459970.2504,9306.59,484881.0632,66482.0557,341001.8715,1354.93287,10458.61824,212342.8844,9823.53,
2001,242864.8731,8075.9,104053.98,159676.9103,24329.71615,336044.286,184199.7723,44632.91841,52287.34011,101896.09,438653.8967,239344.5642,206361.67,108520.817,745816.5004,9089.1158,12951.30131,4114.45,5986.54187,157227.3378,179755.7021,294708.6053,6484.328027,457522.2504,9961.59,487792.0632,67079.0557,350367.8715,1373.93287,10833.61824,214387.8844,10047.53,
2002,245863.8731,7986.9,106093.98,166072.9103,24663.71615,344192.286,187573.7723,45311.91841,53009.34011,102694.09,443630.8967,244177.5642,202631.67,108089.817,760847.5004,9073.1158,13059.30131,4264.45,6325.54187,156942.3378,180845.7021,285105.6053,6550.328027,458142.2504,10324.59,493064.0632,68313.0557,355241.8715,1464.93287,11419.61824,218619.8844,10397.53,
2003,259064.8731,8179.9,108290.98,162398.9103,25062.71615,361114.286,193319.7723,46290.91841,53775.34011,104911.09,445534.8967,248771.5642,210236.67,112799.817,778842.5004,9392.1158,13293.30131,4319.45,6496.54187,162692.3378,184909.7021,307484.6053,6625.328027,465902.2504,10664.59,501920.0632,69453.0557,363698.8715,1564.93287,11988.61824,221859.8844,10571.53,
2004,269828.8731,8433.9,109592.98,169142.9103,25728.71615,368188.286,198851.7723,47770.91841,54621.34011,110282.09,455640.8967,255882.5642,212710.67,114394.817,800713.5004,9692.1158,13570.30131,4398.45,6684.54187,168585.3378,188347.7021,305217.6053,6705.328027,481615.2504,11167.59,510786.0632,71499.0557,373801.8715,1604.93287,12581.61824,228644.8844,10018.53,244453.47
2004,269828.8731,8433.9,109592.98,169142.9103,25728.71615,368188.286,198851.7723,47770.91841,54621.34011,110282.09,455640.8967,255882.5642,212710.67,114394.817,800713.5004,9692.1158,13570.30131,4398.45,6684.54187,168585.3378,188347.7021,305217.6053,6705.328027,481615.2504,11167.59,510786.0632,71499.0557,373801.8715,1604.93287,12581.61824,228644.8844,10018.53,
2005,276590.8318,8526.61,111013.86,167395.1536,26646.46582,393193.286,206640.9523,49590.46809,55700.21272,107904.58,470942.5665,266606.3742,217746.13,115071.4646,854322.8921,9995.8658,14027.35902,4576.13,7249.17187,171603.2877,192569.3821,312784.1653,6856.809657,509558.1304,11706.08,524270.7632,74659.0357,385767.2415,1692.111443,13413.54824,238401.4335,11360.55,257289.24
2006,290050.775,8703.95,113208.78,179235.9241,27815.17895,409877.286,217329.9823,51400.82867,57123.44642,108753.83,487997.88,275731.1742,227315.5,123072.8289,912673.9342,10081.0058,14502.30255,4691.57,7716.75187,180443.1605,202311.3621,326931.7953,6954.703979,544255.9804,12455.94,543692.4232,77725.4657,401621.8715,2001.354173,14661.22824,251372.1627,11599.86,267514.87
2007,307710.6725,9118.95,115380.23,183391.0807,28384.9688,435176.286,225525.4123,52943.63519,58716.44156,120231.35,510721.8194,286853.9742,232728.54,127120.2057,968771.6565,10355.4758,14715.52675,4987.3,8241.44187,187290.2308,210977.7521,333053.3653,7056.771883,560310.0604,13080.1,560607.5332,82709.7857,418570.7115,2209.973062,15376.10824,264611.0579,12122.79,277994.03
