year,Andhra Pradesh,Arunachal Pradesh,Assam,Bihar,Goa,Gujarat,Haryana,Himachal Pradesh,Jammu And Kashmir,Jharkhand,Karnataka,Kerala,Madhya Pradesh,Chhattisgarh,Maharashtra,MANIPUR,Meghalaya,MIZORAM,Nagaland,Odisha,Punjab,Rajasthan,SIKKIM,TamilNadu,Tripura,Uttar Pradesh,Uttarakhand,West Bengal,Andaman And Nicobar Islands,Chandigarh,Delhi,Pondicherry,Telangana
2021   ,661432.0057,,,382274.4911,,,527733.1209,106003.7939,97334.73236,213680.9912,1127480.45,506107.3387,539180.46,,,,22527.3451,,,365115.6983,376780.8214,648141.6301,17442.45461,1181922.771,35394.60194,948838.571,167486.5697,,,,548057.8587,23666.38204,599614.0106
2020   ,593868.8796,16588.48,199646.2,344182.9842,46420.95615,1099258.598,480470.5149,98132.10979,87101.72272,196467.21,1026874.569,472272.2458,490237.64,215126.3,1653093.957,18230.12738,20619.89471,11780.58,15200.44874,326252.8115,352357.164,583644.948,16147.16712,1094471.124,32615.26,910010.7368,156791.5839,706648.3267,,24422.19,496284.2655,22815.59909,537753.2868
2019   ,595658.1603,17090.94,212315.35,359195.5552,48508.84285,1110178.597,507776.0041,102613.0225,90791.49123,209912.67,1030356.541,521454.6477,508145.77,220623.97,1782902.888,17755.88,21997.30004,13050.12959,15853.24596,346106.3806,367558.1278,598549.6262,16587.7069,1099401.759,33694.98,980106.3197,166351.0764,697554.4718,6430.234907,27817.32,521994.1132,23672.06827,572736.397
2018   ,558861.6852,14897.1,204627.0585,345545.4511,47424.52703,1034399.01,470327.6432,99217.82697,93071.8218,208701.46,974815.3001,510786.9336,482361.02,209210.74,1728577.953,16192.96,20967.94975,14115.98495,15054.70294,338339.411,353942.4692,568101.883,15889.06405,1071601.897,32703.15,949184.454,166518.8079,659287.8942,6107.629334,26654.15,506332.4745,23467.7812,544440.5948
2017   ,526625.9555,13922.63,195262.2821,312605.1365,47076.84672,946511.1944,434407.1727,93524.97568,87590.6829,191573.07,915641.8926,473181.7898,441956.43,194073.22,1661065.007,16870.36,19963.68498,13779.41303,14177.79499,316191.8905,335056.7857,557618.207,15204.35862,1000308.163,29505.18,922457.5125,162204.7861,623786.822,5749.685598,25289.46,487631.1457,20024.15779,498145.46
2016   ,477565.5526,13396.43,179631.8965,289264.8743,46370.67971,843930.3359,412054.6147,88112.12233,82635.73144,176363.12,851393.9915,443615.3007,419465.25,187540.52,1596120.748,15200.95,19294.85847,12029.37282,13487.89379,293348.2482,315782.9924,529650.3845,13415.84493,922084.3072,27203.6,888453.008,150302.9427,584910.8273,5090.617065,23842.40014,461592.3775,18283.79116,455731.09
2015   ,446996.86,12889.06,167628.666,269199.6011,41929.4433,774775.2151,372700.245,80562.91566,80602.31028,158231.12,749951.6131,411150.1494,370715.67,168878.88,1452513.395,14635.16,18330.23697,10947.90345,12599.69864,253191.6726,294894.8566,501921.5114,12484.21357,862436.9805,23745.31,792048.7594,136143.5115,546988.0509,4483.208993,22058.15927,431729.586,17024.66497,416892.3724
2014   ,397063.8325,13081.6,146425.387,255738.8122,36041.68146,705628.836,333359.2475,74552.9825,67153.76287,170568,671283.498,382134.2555,339246.9,165354.2083,1345341.463,13615.17,17892.85396,9960.02,12406.40914,235930.7377,278484.6,465407.7311,11436.70163,791915.0973,24406.6,729686.3008,125701.6631,515701.6029,4151.069428,20353.08549,387638.7395,16054.68247,372896.74
2013   ,360239.2258,11226.44,138724.76,246914.742,27971.10229,641488.8106,314931.1968,69398.15515,70535.8264,150609.33,646786.9485,364706.7731,322597.6,163494.3264,1267551.27,12519.4623,18396.55072,7831.452497,11923.17526,233121.874,267515.21,434292.2193,10589.85602,750416.1623,20623.06,707469.1041,117777.5084,503951.5671,3811.152063,19813.4545,356527.5126,17238.51,349592.66
2012   ,341335.2232,10398.77,132517.6,236932.5512,32452.85048,596658.8337,289756.2205,64518.52068,67315.56271,149526.29,593192.0329,348615.8055,306853.34,148760.304,1189710.84,11515.0726,18322.88537,6836.44,11163.01629,216301.0722,251812.5938,409802.4908,9970.327238,709343.1348,18857.21,673552.1893,109528.4945,492901.1664,3557.523694,18305.19436,334193.2963,15507.37,334204.72
