state,district,year,residualsodiumcarbonate,gdp,Gini
andhra pradesh,anantapur,2000,5.2656665,171092.868,0.32
andhra pradesh,anantapur,2001,4.5327272,178850.9966,0.32
andhra pradesh,anantapur,2003,0.0,200842.5423,0.32
andhra pradesh,anantapur,2004,-6.1144447,215454.7027,0.32
andhra pradesh,anantapur,2005,9.3479996,227456.699,0.32
andhra pradesh,anantapur,2006,5.2127271,251347.1421,0.32
andhra pradesh,anantapur,2007,7.3061538,282692.2057,0.32
andhra pradesh,anantapur,2008,7.4450002,289918.0575,0.32
andhra pradesh,anantapur,2009,7.7816668,309549.0583,0.32
andhra pradesh,anantapur,2010,6.9418182,330209.0565,0.32
andhra pradesh,anantapur,2011,8.5088892,339995.5242,0.32
andhra pradesh,anantapur,2012,0.0,341335.2232,0.32
andhra pradesh,anantapur,2013,4.8094115,360239.2258,0.32
andhra pradesh,anantapur,2014,-2.9719999,397063.8325,0.32
andhra pradesh,anantapur,2015,-1.22,446996.86,0.32
andhra pradesh,anantapur,2017,-1.8356522,526625.9555,0.32
andhra pradesh,anantapur,2018,-7.243784,558861.6852,0.32
andhra pradesh,chittoor,2000,4.1312499,171092.868,0.32
andhra pradesh,chittoor,2004,-7.4430771,215454.7027,0.32
andhra pradesh,chittoor,2005,3.8488889,227456.699,0.32
andhra pradesh,chittoor,2006,3.4112499,251347.1421,0.32
andhra pradesh,chittoor,2007,4.027143,282692.2057,0.32
andhra pradesh,chittoor,2008,3.5657144,289918.0575,0.32
andhra pradesh,chittoor,2009,3.7171428,309549.0583,0.32
andhra pradesh,chittoor,2010,4.6284208,330209.0565,0.32
andhra pradesh,chittoor,2011,4.5133333,339995.5242,0.32
andhra pradesh,chittoor,2012,0.0,341335.2232,0.32
andhra pradesh,chittoor,2013,3.2366667,360239.2258,0.32
andhra pradesh,chittoor,2014,-4.4341936,397063.8325,0.32
andhra pradesh,chittoor,2015,-2.3425,446996.86,0.32
andhra pradesh,chittoor,2017,-5.2946668,526625.9555,0.32
andhra pradesh,chittoor,2018,-4.9706249,558861.6852,0.32
andhra pradesh,east godavari,2000,2.3408,171092.868,0.32
andhra pradesh,east godavari,2004,-5.8000002,215454.7027,0.32
andhra pradesh,east godavari,2005,3.1184616,227456.699,0.32
andhra pradesh,east godavari,2006,2.3800001,251347.1421,0.32
andhra pradesh,east godavari,2007,5.9523077,282692.2057,0.32
andhra pradesh,east godavari,2008,4.3984613,289918.0575,0.32
andhra pradesh,east godavari,2009,5.007143,309549.0583,0.32
andhra pradesh,east godavari,2010,3.6276922,330209.0565,0.32
andhra pradesh,east godavari,2011,3.6508334,339995.5242,0.32
andhra pradesh,east godavari,2012,0.0,341335.2232,0.32
andhra pradesh,east godavari,2013,2.6225808,360239.2258,0.32
andhra pradesh,east godavari,2014,-2.4768965,397063.8325,0.32
andhra pradesh,east godavari,2015,-0.20666666,446996.86,0.32
andhra pradesh,east godavari,2017,-2.8652174,526625.9555,0.32
andhra pradesh,east godavari,2018,-2.8468292,558861.6852,0.32
andhra pradesh,guntur,2000,3.9606667,171092.868,0.32
andhra pradesh,guntur,2004,-4.2303448,215454.7027,0.32
andhra pradesh,guntur,2005,4.4953847,227456.699,0.32
andhra pradesh,guntur,2006,4.3400002,251347.1421,0.32
andhra pradesh,guntur,2007,4.8080001,282692.2057,0.32
andhra pradesh,guntur,2008,4.4346666,289918.0575,0.32
andhra pradesh,guntur,2009,4.0944443,309549.0583,0.32
andhra pradesh,guntur,2010,4.1571426,330209.0565,0.32
