state,district,year,residualsodiumcarbonate,gdp_Andaman And Nicobar Islands,gdp_Andhra Pradesh,gdp_Arunachal Pradesh,gdp_Assam,gdp_Bihar,gdp_Chandigarh,gdp_Chhattisgarh,gdp_Delhi,gdp_Goa,gdp_Gujarat,gdp_Haryana,gdp_Himachal Pradesh,gdp_Jammu And Kashmir,gdp_Jharkhand,gdp_Karnataka,gdp_Kerala,gdp_Madhya Pradesh,gdp_Maharashtra,gdp_Meghalaya,gdp_Nagaland,gdp_Odisha,gdp_Pondicherry,gdp_Punjab,gdp_Rajasthan,gdp_Telangana,gdp_Tripura,gdp_Uttar Pradesh,gdp_Uttarakhand,gdp_West Bengal
Andaman And Nicobar Islands,North And Middle Andaman,2005,0.34999999,1705.992492,227456.699,6734.071033,93914.59854,120702.7833,11951.67548,86399.67832,181895.737,19456.84251,311996.5449,160805.9553,41021.54886,46834.30436,86858.77274,366993.4895,214150.7366,174775.7442,685815.5489,11028.007,6799.863235,139934.2738,9498.973153,157746.8314,234376.8328,187776.178,10518.45538,431731.0483,49189.05418,330249.354
Andaman And Nicobar Islands,North And Middle Andaman,2018,0.0,6107.629334,558861.6852,14897.1,204627.0585,345545.4511,26654.15,209210.74,506332.4745,47424.52703,1034399.01,470327.6432,99217.82697,93071.8218,208701.46,974815.3001,510786.9336,482361.02,1728577.953,20967.94975,15054.70294,338339.411,23467.7812,353942.4692,568101.883,544440.5948,32703.15,949184.454,166518.8079,659287.8942
Andaman And Nicobar Islands,South Andaman,2005,1.28,1705.992492,227456.699,6734.071033,93914.59854,120702.7833,11951.67548,86399.67832,181895.737,19456.84251,311996.5449,160805.9553,41021.54886,46834.30436,86858.77274,366993.4895,214150.7366,174775.7442,685815.5489,11028.007,6799.863235,139934.2738,9498.973153,157746.8314,234376.8328,187776.178,10518.45538,431731.0483,49189.05418,330249.354
Andaman And Nicobar Islands,South Andaman,2010,4.3000002,3138.75895,330209.0565,9720.172067,124268.4082,207295.1926,16655.58215,133464.9165,299873.9628,31500.30626,499605.604,249823.4553,56319.52394,61986.66288,130488.9544,538790.6955,309969.0947,259230.1691,1080814.588,16143.05856,9754.567268,196839.6779,14619.81649,226995.4769,361435.8555,307974.0313,15962.03005,612018.7068,92717.08884,456461.661
Andaman And Nicobar Islands,South Andaman,2018,0.0,6107.629334,558861.6852,14897.1,204627.0585,345545.4511,26654.15,209210.74,506332.4745,47424.52703,1034399.01,470327.6432,99217.82697,93071.8218,208701.46,974815.3001,510786.9336,482361.02,1728577.953,20967.94975,15054.70294,338339.411,23467.7812,353942.4692,568101.883,544440.5948,32703.15,949184.454,166518.8079,659287.8942
Andhra Pradesh,Anantapur,2000,5.2656665,1247.388396,171092.868,4732.599093,76319.46293,110614.8384,7198.312771,60612.54156,126215.9735,13778.24362,187486.13,108123.1615,29339.77702,37710.45956,65731.28053,276258.3865,147974.0131,142623.6374,462181.6751,8197.00221,4584.308822,98181.55447,7081.521016,130869.8139,174260.9951,,7101.884842,351084.109,30799.75717,247972.2633
Andhra Pradesh,Anantapur,2001,4.5327272,1275.670472,178850.9966,5489.461549,78289.01246,104271.4312,7829.891453,69095.37133,131069.795,14312.48609,202722.5912,116474.189,30835.30478,38436.65078,70259.96681,281266.0548,155366.9509,152826.3021,478508.6139,8745.545023,5110.032311,104158.6908,7561.47887,132574.7758,194104.6612,,8075.458423,357471.0467,32261.16672,265880.2771
Andhra Pradesh,Anantapur,2003,0.0,1559.97976,200842.5423,5795.74052,88141.41076,109882.9861,9775.153795,80688.48171,148804.6382,16222.72868,257104.4366,135775.0939,34503.32999,42468.63783,77692.73172,302124.2662,177541.0599,161105.9514,551012.7797,9564.766167,5876.086537,118510.6459,8684.237422,143252.0224,225127.9942,,9120.377855,388468.8675,38072.53404,291369.4649
Andhra Pradesh,Anantapur,2004,-6.1144447,1619.520972,215454.7027,6543.768006,91168.98276,123786.1185,10773.89022,85009.82105,164908.8821,17958.36519,272449.3578,147482.6165,37777.56238,44761.01757,90933.65389,332758.3434,194267.4934,166392.1069,599027.635,10228.28739,6158.475154,133986.5968,7499.34147,150374.3301,219623.1495,161790.0416,9868.02291,407921.492,43080.98287,310686.6401
Andhra Pradesh,Anantapur,2005,9.3479996,1705.992492,227456.699,6734.071033,93914.59854,120702.7833,11951.67548,86399.67832,181895.737,19456.84251,311996.5449,160805.9553,41021.54886,46834.30436,86858.77274,366993.4895,214150.7366,174775.7442,685815.5489,11028.007,6799.863235,139934.2738,9498.973153,157746.8314,234376.8328,187776.178,10518.45538,431731.0483,49189.05418,330249.354
