state,district,year,residualsodiumcarbonate
Andaman And Nicobar Islands,North And Middle Andaman,2000,
Andaman And Nicobar Islands,North And Middle Andaman,2001,
Andaman And Nicobar Islands,North And Middle Andaman,2002,
Andaman And Nicobar Islands,North And Middle Andaman,2003,
Andaman And Nicobar Islands,North And Middle Andaman,2004,
Andaman And Nicobar Islands,North And Middle Andaman,2006,
Andaman And Nicobar Islands,North And Middle Andaman,2007,
Andaman And Nicobar Islands,North And Middle Andaman,2008,
Andaman And Nicobar Islands,North And Middle Andaman,2009,
Andaman And Nicobar Islands,North And Middle Andaman,2010,
Andaman And Nicobar Islands,North And Middle Andaman,2011,
Andaman And Nicobar Islands,North And Middle Andaman,2012,
Andaman And Nicobar Islands,North And Middle Andaman,2013,
Andaman And Nicobar Islands,North And Middle Andaman,2014,
Andaman And Nicobar Islands,North And Middle Andaman,2015,
Andaman And Nicobar Islands,North And Middle Andaman,2016,
Andaman And Nicobar Islands,North And Middle Andaman,2017,
Andaman And Nicobar Islands,South Andaman,2000,
Andaman And Nicobar Islands,South Andaman,2001,
Andaman And Nicobar Islands,South Andaman,2002,
Andaman And Nicobar Islands,South Andaman,2003,
Andaman And Nicobar Islands,South Andaman,2004,
Andaman And Nicobar Islands,South Andaman,2006,
Andaman And Nicobar Islands,South Andaman,2007,
Andaman And Nicobar Islands,South Andaman,2008,
Andaman And Nicobar Islands,South Andaman,2009,
Andaman And Nicobar Islands,South Andaman,2011,
Andaman And Nicobar Islands,South Andaman,2012,
Andaman And Nicobar Islands,South Andaman,2013,
Andaman And Nicobar Islands,South Andaman,2014,
Andaman And Nicobar Islands,South Andaman,2015,
Andaman And Nicobar Islands,South Andaman,2016,
Andaman And Nicobar Islands,South Andaman,2017,
Andhra Pradesh,Anantapur,2002,
Andhra Pradesh,Anantapur,2016,
Andhra Pradesh,Chittoor,2001,
Andhra Pradesh,Chittoor,2002,
Andhra Pradesh,Chittoor,2003,
Andhra Pradesh,Chittoor,2016,
Andhra Pradesh,East Godavari,2001,
Andhra Pradesh,East Godavari,2002,
Andhra Pradesh,East Godavari,2003,
Andhra Pradesh,East Godavari,2016,
Andhra Pradesh,Guntur,2001,
Andhra Pradesh,Guntur,2002,
Andhra Pradesh,Guntur,2003,
Andhra Pradesh,Guntur,2016,
Andhra Pradesh,Krishna,2001,
Andhra Pradesh,Krishna,2002,
Andhra Pradesh,Krishna,2003,
Andhra Pradesh,Krishna,2016,
Andhra Pradesh,Kurnool,2000,
Andhra Pradesh,Kurnool,2001,
Andhra Pradesh,Kurnool,2016,
Andhra Pradesh,Prakasam,2001,
Andhra Pradesh,Prakasam,2002,
Andhra Pradesh,Prakasam,2003,
Andhra Pradesh,Prakasam,2016,
Andhra Pradesh,Sri Potti Sriramulu Nellore,2001,
Andhra Pradesh,Sri Potti Sriramulu Nellore,2002,
Andhra Pradesh,Sri Potti Sriramulu Nellore,2016,
Andhra Pradesh,Srikakulam,2001,
Andhra Pradesh,Srikakulam,2002,
Andhra Pradesh,Srikakulam,2003,
Andhra Pradesh,Srikakulam,2016,
Andhra Pradesh,Visakhapatanam,2001,
Andhra Pradesh,Visakhapatanam,2002,
Andhra Pradesh,Visakhapatanam,2016,
Andhra Pradesh,Vizianagaram,2001,
Andhra Pradesh,Vizianagaram,2002,
Andhra Pradesh,Vizianagaram,2003,
Andhra Pradesh,Vizianagaram,2016,
Andhra Pradesh,West Godavari,2001,
Andhra Pradesh,West Godavari,2002,
Andhra Pradesh,West Godavari,2003,
Andhra Pradesh,West Godavari,2016,
Andhra Pradesh,Y.S.R.,2001,
Andhra Pradesh,Y.S.R.,2002,
Andhra Pradesh,Y.S.R.,2003,
Andhra Pradesh,Y.S.R.,2016,
Arunachal Pradesh,Changlang,2000,
Arunachal Pradesh,Changlang,2001,
Arunachal Pradesh,Changlang,2002,
Arunachal Pradesh,Changlang,2003,
Arunachal Pradesh,Changlang,2004,
Arunachal Pradesh,Changlang,2005,
Arunachal Pradesh,Changlang,2006,
Arunachal Pradesh,Changlang,2008,
Arunachal Pradesh,Changlang,2009,
Arunachal Pradesh,Changlang,2011,
Arunachal Pradesh,Changlang,2012,
Arunachal Pradesh,Changlang,2014,
Arunachal Pradesh,Changlang,2017,
Arunachal Pradesh,East Siang,2000,
Arunachal Pradesh,East Siang,2001,
Arunachal Pradesh,East Siang,2002,
Arunachal Pradesh,East Siang,2003,
Arunachal Pradesh,East Siang,2004,
Arunachal Pradesh,East Siang,2005,
Arunachal Pradesh,East Siang,2007,
Arunachal Pradesh,East Siang,2008,
Arunachal Pradesh,East Siang,2009,
Arunachal Pradesh,East Siang,2010,
Arunachal Pradesh,East Siang,2011,
Arunachal Pradesh,East Siang,2012,
Arunachal Pradesh,East Siang,2013,
Arunachal Pradesh,East Siang,2017,
Arunachal Pradesh,Lohit,2000,
Arunachal Pradesh,Lohit,2001,
Arunachal Pradesh,Lohit,2002,
Arunachal Pradesh,Lohit,2003,
Arunachal Pradesh,Lohit,2004,
Arunachal Pradesh,Lohit,2007,
Arunachal Pradesh,Lohit,2008,
Arunachal Pradesh,Lohit,2010,
Arunachal Pradesh,Lohit,2011,
Arunachal Pradesh,Lohit,2012,
Arunachal Pradesh,Lohit,2014,
Arunachal Pradesh,Lohit,2017,
Arunachal Pradesh,Lower Subansiri,2000,
Arunachal Pradesh,Lower Subansiri,2001,
Arunachal Pradesh,Lower Subansiri,2002,
Arunachal Pradesh,Lower Subansiri,2003,
Arunachal Pradesh,Lower Subansiri,2004,
Arunachal Pradesh,Lower Subansiri,2005,
Arunachal Pradesh,Lower Subansiri,2006,
Arunachal Pradesh,Lower Subansiri,2007,
Arunachal Pradesh,Lower Subansiri,2008,
Arunachal Pradesh,Lower Subansiri,2009,
Arunachal Pradesh,Lower Subansiri,2010,
Arunachal Pradesh,Lower Subansiri,2011,
Arunachal Pradesh,Lower Subansiri,2012,
Arunachal Pradesh,Lower Subansiri,2013,
Arunachal Pradesh,Lower Subansiri,2014,
Arunachal Pradesh,Lower Subansiri,2015,
Arunachal Pradesh,Lower Subansiri,2017,
